# WHO ATC 5단계 코드 -> 영문 성분명 (구분자: |, 줄바꿈: LF)
# 출처: WHO ATC/DDD Index. 성분명에 쉼표가 있어 파이프 구분자를 사용한다.
atc_code|ingredient_en|is_combination
A10AD03|insulin (pork)|N
A10AD04|insulin lispro|N
A10AD05|insulin aspart|N
A10AD06|insulin degludec and insulin aspart|N
A10AD30|combinations|N
A10AE01|insulin (human)|N
A10AE02|insulin (beef)|N
A10AE03|insulin (pork)|N
A10AE04|insulin glargine|N
A10AE05|insulin detemir|N
A10AE06|insulin degludec|N
A10AE30|combinations|N
A10AE54|insulin glargine and lixisenatide|N
A10AE56|insulin degludec and liraglutide|N
A10AF01|insulin (human)|N
A10BA01|phenformin|N
A10BA02|metformin|N
A10BA03|buformin|N
A10BB01|glibenclamide|N
A10BB02|chlorpropamide|N
A10BB03|tolbutamide|N
A10BB04|glibornuride|N
A10BB05|tolazamide|N
A10BB06|carbutamide|N
A10BB07|glipizide|N
A10BB08|gliquidone|N
A10BB09|gliclazide|N
A10BB10|metahexamide|N
A10BB11|glisoxepide|N
A10BB12|glimepiride|N
A10BB31|acetohexamide|N
A10BC01|glymidine|N
A10BD01|phenformin and sulfonylureas|N
A10BD02|metformin and sulfonylureas|N
A10BD03|metformin and rosiglitazone|N
A10BD04|glimepiride and rosiglitazone|N
A10BD05|metformin and pioglitazone|N
A10BD06|glimepiride and pioglitazone|N
A10BD07|metformin and sitagliptin|N
A10BD08|metformin and vildagliptin|N
A10BD09|pioglitazone and alogliptin|N
A10BD10|metformin and saxagliptin|N
A10BD11|metformin and linagliptin|N
A10BD12|pioglitazone and sitagliptin|N
A10BD13|metformin and alogliptin|N
A10BD14|metformin and repaglinide|N
A10BD15|metformin and dapagliflozin|N
A10BD16|metformin and canagliflozin|N
A10BD17|metformin and acarbose|N
A10BD18|metformin and gemigliptin|N
A10BD19|linagliptin and empagliflozin|N
A10BD20|metformin and empagliflozin|N
A10BD21|saxagliptin and dapagliflozin|N
A10BD22|metformin and evogliptin|N
A10BD23|metformin and ertugliflozin|N
A10BD24|sitagliptin and ertugliflozin|N
A10BD25|metformin, saxagliptin and dapagliflozin|N
A10BD26|metformin and lobeglitazone|N
A10BF01|acarbose|N
A10BF02|miglitol|N
A10BF03|voglibose|N
A10BG01|troglitazone|N
A10BG02|rosiglitazone|N
A10BG03|pioglitazone|N
A10BG04|lobeglitazone|N
A10BH01|sitagliptin|N
A10BH02|vildagliptin|N
A10BH03|saxagliptin|N
A10BH04|alogliptin|N
A10BH05|linagliptin|N
A10BH06|gemigliptin|N
A10BH07|evogliptin|N
A10BH08|teneligliptin|N
A10BH51|sitagliptin and simvastatin|N
A10BH52|gemigliptin and rosuvastatin|N
A10BJ01|exenatide|N
A10BJ02|liraglutide|N
A10BJ03|lixisenatide|N
A10BJ04|albiglutide|N
A10BJ05|dulaglutide|N
A10BJ06|semaglutide|N
A10BJ07|beinaglutide|N
A10BK01|dapagliflozin|N
A10BK02|canagliflozin|N
A10BK03|empagliflozin|N
A10BK04|ertugliflozin|N
A10BK05|ipragliflozin|N
A10BK06|sotagliflozin|N
A10BK07|luseogliflozin|N
A10BX01|guar gum|N
A10BX02|repaglinide|N
A10BX03|nateglinide|N
A10BX05|pramlintide|N
A10BX06|benfluorex|N
A10BX08|mitiglinide|N
A10XA01|tolrestat|N
A11AA01|multivitamins and iron|N
A11AA02|multivitamins and calcium|N
A11AA03|multivitamins and other minerals|Y
A11AA04|multivitamins and trace elements|N
A11CA01|retinol (vit A)|N
A11CA02|betacarotene|N
A11CC01|ergocalciferol|N
A11CC02|dihydrotachysterol|N
A11CC03|alfacalcidol|N
A11CC04|calcitriol|N
A11CC05|colecalciferol|N
A11CC06|calcifediol|N
A11CC20|combinations|N
A11CC55|colecalciferol|Y
A11DA01|thiamine (vit B1)|N
A11DA02|sulbutiamine|N
A11DA03|benfotiamine|N
A11GA01|ascorbic acid (vit C)|N
A11GB01|ascorbic acid (vit C) and calcium|N
A11HA01|nicotinamide|N
A11HA02|pyridoxine (vit B6)|N
A11HA03|tocopherol (vit E)|N
A11HA04|riboflavin (vit B2)|N
A11HA05|biotin|N
A11HA06|pyridoxal phosphate|N
A11HA07|inositol|N
A11HA08|tocofersolan|N
A11HA30|dexpanthenol|N
A11HA31|calcium pantothenate|N
A11HA32|pantethine|N
A12AA01|calcium phosphate|N
A12AA02|calcium glubionate|N
A12AA03|calcium gluconate|N
A12AA04|calcium carbonate|N
A12AA05|calcium lactate|N
A12AA06|calcium lactate gluconate|N
A12AA07|calcium chloride|N
A12AA08|calcium glycerylphosphate|N
A12AA09|calcium citrate lysine complex|N
A12AA10|calcium glucoheptonate|N
A12AA11|calcium pangamate|N
A12AA13|calcium citrate|N
A12AA20|calcium (different salts in combination)|N
A12AA30|calcium laevulate|N
A12BA01|potassium chloride|N
A12BA02|potassium citrate|N
A12BA03|potassium hydrogentartrate|N
A12BA04|potassium hydrogencarbonate|N
A12BA05|potassium gluconate|N
A12BA30|potassium (different salts in combination)|N
A12BA51|potassium chloride|Y
A12CA01|sodium chloride|N
A12CA02|sodium sulfate|N
A12CB01|zinc sulfate|N
A12CB02|zinc gluconate|N
A12CB03|zinc protein complex|N
A12CC01|magnesium chloride|N
A12CC02|magnesium sulfate|N
A12CC03|magnesium gluconate|N
A12CC04|magnesium citrate|N
A12CC05|magnesium aspartate|N
A12CC06|magnesium lactate|N
A12CC07|magnesium levulinate|N
A12CC08|magnesium pidolate|N
A12CC09|magnesium orotate|N
A12CC10|magnesium oxide|N
A12CC30|magnesium (different salts in combination)|N
A12CD01|sodium fluoride|N
A12CD02|sodium monofluorophosphate|N
A12CD51|fluoride|Y
A12CE01|sodium selenate|N
A12CE02|sodium selenite|N
A14AA01|androstanolone|N
A14AA02|stanozolol|N
A14AA03|metandienone|N
A14AA04|metenolone|N
A14AA05|oxymetholone|N
A14AA06|quinbolone|N
A14AA07|prasterone|N
A14AA08|oxandrolone|N
A14AA09|norethandrolone|N
A14AB01|nandrolone|N
A14AB02|ethylestrenol|N
A14AB03|oxabolone cipionate|N
A16AA01|levocarnitine|N
A16AA02|ademetionine|N
A16AA03|glutamine|N
A16AA04|mercaptamine|N
A16AA05|carglumic acid|N
A16AA06|betaine|N
A16AA07|metreleptin|N
A16AB01|alglucerase|N
A16AB02|imiglucerase|N
A16AB03|agalsidase alfa|N
A16AB04|agalsidase beta|N
A16AB05|laronidase|N
A16AB06|sacrosidase|N
A16AB07|alglucosidase alfa|N
A16AB08|galsulfase|N
A16AB09|idursulfase|N
A16AB10|velaglucerase alfa|N
A16AB11|taliglucerase alfa|N
A16AB12|elosulfase alfa|N
A16AB13|asfotase alfa|N
A16AB14|sebelipase alfa|N
A16AB15|velmanase alfa|N
A16AB16|idursulfase beta|N
A16AB17|cerliponase alfa|N
A16AB18|vestronidase alfa|N
A16AB19|pegvaliase|N
A16AX01|thioctic acid|N
A16AX02|anethole trithione|N
A16AX03|sodium phenylbutyrate|N
A16AX04|nitisinone|N
A16AX05|zinc acetate|N
A16AX06|miglustat|N
A16AX07|sapropterin|N
A16AX08|teduglutide|N
A16AX09|glycerol phenylbutyrate|N
A16AX10|eliglustat|N
A16AX11|sodium benzoate|N
A16AX12|trientine|N
A16AX13|uridine triacetate|N
A16AX14|migalastat|N
A16AX15|telotristat|N
A16AX16|givosiran|N
A16AX17|triheptanoin|N
A16AX18|lumasiran|N
A16AX30|sodium benzoate and sodium phenylacetate|N
B01AA01|dicoumarol|N
B01AA02|phenindione|N
B01AA03|warfarin|N
B01AA04|phenprocoumon|N
B01AA07|acenocoumarol|N
B01AA08|ethyl biscoumacetate|N
B01AA09|clorindione|N
B01AA10|diphenadione|N
B01AA11|tioclomarol|N
B01AA12|fluindione|N
B01AB01|heparin|N
B01AB02|antithrombin III|N
B01AB04|dalteparin|N
B01AB05|enoxaparin|N
B01AB06|nadroparin|N
B01AB07|parnaparin|N
B01AB08|reviparin|N
B01AB09|danaparoid|N
B01AB10|tinzaparin|N
B01AB11|sulodexide|N
B01AB12|bemiparin|N
B01AB51|heparin|Y
B01AC01|ditazole|N
B01AC02|cloricromen|N
B01AC03|picotamide|N
B01AC04|clopidogrel|N
B01AC05|ticlopidine|N
B01AC06|acetylsalicylic acid|N
B01AC07|dipyridamole|N
B01AC08|carbasalate calcium|N
B01AC09|epoprostenol|N
B01AC10|indobufen|N
B01AC11|iloprost|N
B01AC13|abciximab|N
B01AC15|aloxiprin|N
B01AC16|eptifibatide|N
B01AC17|tirofiban|N
B01AC18|triflusal|N
B01AC19|beraprost|N
B01AC21|treprostinil|N
B01AC22|prasugrel|N
B01AC23|cilostazol|N
B01AC24|ticagrelor|N
B01AC25|cangrelor|N
B01AC26|vorapaxar|N
B01AC27|selexipag|N
B01AC30|combinations|N
B01AC56|acetylsalicylic acid|Y
B01AD01|streptokinase|N
B01AD02|alteplase|N
B01AD03|anistreplase|N
B01AD04|urokinase|N
B01AD05|fibrinolysin|N
B01AD06|brinase|N
B01AD07|reteplase|N
B01AD08|saruplase|N
B01AD09|ancrod|N
B01AD10|drotrecogin alfa (activated)|N
B01AD11|tenecteplase|N
B01AD12|protein C|N
B01AE01|desirudin|N
B01AE02|lepirudin|N
B01AE03|argatroban|N
B01AE04|melagatran|N
B01AE05|ximelagatran|N
B01AE06|bivalirudin|N
B01AE07|dabigatran etexilate|N
B01AF01|rivaroxaban|N
B01AF02|apixaban|N
B01AF03|edoxaban|N
B01AF04|betrixaban|N
B01AX01|defibrotide|N
B01AX04|dermatan sulfate|N
B01AX05|fondaparinux|N
B01AX07|caplacizumab|N
B02AA01|aminocaproic acid|N
B02AA02|tranexamic acid|N
B02AA03|aminomethylbenzoic acid|N
B02AB01|aprotinin|N
B02AB02|alfa1 antitrypsin|N
B02AB04|camostat|N
B02AB05|ulinastatin|N
B02BA01|phytomenadione|N
B02BA02|menadione|N
B02BB01|fibrinogen, human|N
B02BC01|absorbable gelatin sponge|N
B02BC02|oxidized cellulose|N
B02BC03|tetragalacturonic acid hydroxymethylester|N
B02BC05|adrenalone|N
B02BC06|thrombin|N
B02BC07|collagen|N
B02BC08|calcium alginate|N
B02BC09|epinephrine|N
B02BC30|combinations|N
B02BD01|coagulation factor IX, II, VII and X in combination|N
B02BD02|coagulation factor VIII|N
B02BD03|factor VIII inhibitor bypassing activity|N
B02BD04|coagulation factor IX|N
B02BD05|coagulation factor VII|N
B02BD06|von Willebrand factor and coagulation factor VIII in combination|N
B02BD07|coagulation factor XIII|N
